bike_stands,available_bike_stands,date,temperature,relative_humidity,dew_point,apparent_temperature,precipitation,wind_speed,surface_pressure
20,17,2024-03-21T11:45,17.5,47,6.0,16.2,0.0,7.0,986.9
20,18,2024-03-23T10:15,16.0,54,6.7,15.0,0.0,1.3,974.5
20,19,2024-03-23T16:15,17.0,45,4.9,14.4,0.0,8.9,971.6
20,19,2024-03-23T16:15,17.0,45,4.9,14.4,0.0,8.9,971.6
20,19,2024-03-23T16:15,17.0,45,4.9,14.4,0.0,8.9,971.6
20,19,2024-03-23T16:15,17.0,45,4.9,14.4,0.0,8.9,971.6
20,19,2024-03-23T16:15,17.0,45,4.9,14.4,0.0,8.9,971.6
20,19,2024-03-23T16:15,17.0,45,4.9,14.4,0.0,8.9,971.6
20,9,2024-03-23T19:00,6.9,77,3.2,2.8,0.2,17.3,975.4
20,9,2024-03-23T19:00,6.9,77,3.2,2.8,0.2,17.3,975.4
20,9,2024-03-23T19:00,6.9,77,3.2,2.8,0.2,17.3,975.4
20,9,2024-03-23T19:00,6.9,77,3.2,2.8,0.2,17.3,975.4
20,9,2024-03-23T19:00,6.9,77,3.2,2.8,0.2,17.3,975.4
20,9,2024-03-23T19:00,6.9,77,3.2,2.8,0.2,17.3,975.4
20,9,2024-03-23T19:00,6.9,77,3.2,2.8,0.2,17.3,975.4
20,9,2024-03-23T19:00,6.9,77,3.2,2.8,0.2,17.3,975.4
20,10,2024-03-23T19:30,6.7,75,2.5,2.5,0.6,16.6,977.3
